asset,strategy,period,cagr,max_dd,sharpe,n_trades,cum_return,buyhold_cum_return,beats_buyhold
QQQ3,mean_reversion,2021-2022 (bear),-0.4157630091946506,-0.7579109184941468,-0.7033445880396073,45,-0.6579383900752585,-0.6052387079854658,False
QQQ3,mean_reversion,2023-oggi,0.40421977948242205,-0.413476642147406,1.0500161316620096,63,2.5003032795789135,7.456378681104267,False
QQQ3,momentum,2013-2015,-0.07177056449895791,-0.5338615838126719,-0.17552838953325967,54,-0.20093712465542357,3.1508784592089443,False
QQQ3,momentum,2016-2019,0.14153488606082254,-0.42000254532445147,0.6235487683041765,45,0.7007526194530347,3.8301833451583445,False
QQQ3,momentum,2020 (crash+recupero),0.8462696446065208,-0.3245802838872235,1.449157628358663,13,0.8552762399570879,1.2328815050865543,False
QQQ3,momentum,2021-2022 (bear),0.10820879997428001,-0.27237420168409776,0.5097094080799008,18,0.22762611662435783,-0.6052387079854658,True
QQQ3,momentum,2023-oggi,0.09602749971023905,-0.4915605287739705,0.4401843941748268,69,0.4026848824101801,7.456378681104267,False
QQQ3,vol_target,2013-2015,0.15525386605026847,-0.11537248365586938,0.9419995362394159,746,0.5444663535290031,3.1508784592089443,False
QQQ3,vol_target,2016-2019,0.18340463937093499,-0.1851166740044028,1.0954711568469677,1011,0.9651861933038675,3.8301833451583445,False
QQQ3,vol_target,2020 (crash+recupero),0.24433429656680783,-0.1839653388216307,1.3409612816204062,254,0.24649499837002842,1.2328815050865543,False
QQQ3,vol_target,2021-2022 (bear),-0.03788848731639749,-0.26587437484873533,-0.15122107092878323,503,-0.0741995473768351,-0.6052387079854658,True
QQQ3,vol_target,2023-oggi,0.1903743688823032,-0.18958387568051405,1.1503058451726214,930,0.9024287580216312,7.456378681104267,False
QQQ3,sma_underlying_200,2013-2015,0.32112961795461814,-0.25023709207035016,0.9813459314320808,7,1.31353520986357,3.1508784592089443,False
QQQ3,sma_underlying_200,2016-2019,0.4334250632852894,-0.36325313643057844,1.1408144129119138,27,3.2399582698723126,3.8301833451583445,False
QQQ3,sma_underlying_200,2020 (crash+recupero),1.7560898751358516,-0.43706123670043184,1.7566192223095705,5,1.7783552001019278,1.2328815050865543,True
QQQ3,sma_underlying_200,2021-2022 (bear),0.17755985135804453,-0.322918799865867,0.6104345640387575,10,0.38574813129565455,-0.6052387079854658,True
QQQ3,sma_underlying_200,2023-oggi,0.6715706620054627,-0.34676267406921146,1.286889989196889,9,5.6594220703510345,7.456378681104267,False
XS2D,mean_reversion,2013-2015,0.20334078720731164,-0.2151724869493694,1.0703330616443434,52,0.7463163480273929,1.046302115734293,False
XS2D,mean_reversion,2016-2019,0.047025759209931906,-0.22580539790360632,0.33928779155880123,52,0.20245007411539961,1.5134607348153346,False
XS2D,mean_reversion,2020 (crash+recupero),-0.3391766820467973,-0.5934877222485013,-0.8497872221375555,18,-0.3413458004425588,0.19302487612751928,False
XS2D,mean_reversion,2021-2022 (bear),-0.019825435750073117,-0.37892530551840753,0.07393547224312252,33,-0.03918147741209943,0.007309290832483217,False
XS2D,mean_reversion,2023-oggi,0.13071075686603995,-0.29511383071633834,0.7167331370153851,51,0.5735934104742668,2.3456934355539882,False
XS2D,momentum,2013-2015,-0.007113831575942919,-0.38335503507967994,0.04152061303816525,68,-0.021273221572470136,1.046302115734293,False
XS2D,momentum,2016-2019,0.03630783738203647,-0.32685870167921716,0.3217631676179877,59,0.1538238741751663,1.5134607348153346,False
